,name,temp,temp_min,temp_max,lon,lat,speed,humidity,clouds
392,West Bay,277.85,276.48,279.26,-123.21,49.34,2.6,93,90
393,Tooele,269.86,267.04,271.48,-112.3,40.53,2.1,74,90
394,Shaikhpura,284.07,284.07,284.07,85.84,25.14,1.88,57,0
395,Derzhavinsk,266.74,266.74,266.74,66.31,51.1,3.32,95,97
396,Harper,290.07,288.71,291.15,-99.24,30.3,7.7,82,90
397,Miyako,276.88,275.37,278.71,130.94,33.63,1.5,86,90
398,Phan Thiet,293.55,293.55,293.55,108.1,10.93,1.38,82,4
399,Atambua,298.29,298.29,298.29,124.89,-9.11,1.0,83,100
400,Amapa,301.91,301.15,302.59,-87.97,15.09,1.0,58,40
401,Painesville,278.52,277.04,280.37,-81.25,41.72,2.1,64,1
402,Isangel,298.56,298.56,298.56,169.27,-19.55,7.19,82,57
403,Sharya,263.82,263.82,263.82,45.52,58.37,4.53,81,97
404,Moose Factory,269.15,269.15,269.15,-80.61,51.26,6.2,85,90
405,Moyale,298.49,298.49,298.49,39.05,3.52,4.92,37,100
406,Oulainen,268.09,265.93,269.26,24.8,64.27,3.13,88,100
407,Santiago,293.68,293.68,293.68,121.54,16.69,0.77,96,12
408,Vanimo,299.94,299.94,299.94,141.3,-2.67,3.22,78,89
409,Sao Miguel do Araguaia,307.33,307.33,307.33,-50.16,-13.28,1.38,45,96
410,Lazaro Cardenas,285.37,284.15,287.04,-105.62,28.39,5.1,27,40
411,Makat,272.65,272.65,272.65,53.35,47.65,4.46,70,100
412,Talcahuano,296.15,296.15,296.15,-73.12,-36.72,6.2,60,37
413,Senador Guiomard,303.15,303.15,303.15,-67.74,-10.15,1.5,70,75
414,Kamenka,273.71,273.71,273.71,28.7,48.03,3.13,88,100
415,San Quintin,295.25,295.25,295.25,120.52,17.54,1.91,88,2
416,Warmbad,271.05,269.26,273.15,13.08,50.67,1.0,86,96
417,Santa Ines,288.4,285.93,291.48,-78.63,-0.82,8.2,63,75
418,Illela,298.42,298.42,298.42,4.3,12.25,4.32,12,0
419,Salinopolis,301.18,301.18,301.18,-47.36,-0.61,8.6,79,48
420,Sidi Ali,284.96,284.96,284.96,0.42,36.1,1.28,67,0
421,Cherskiy,244.69,244.69,244.69,161.3,68.75,3.19,84,60
422,Brownwood,285.87,284.82,287.15,-98.99,31.71,1.5,100,75
423,Yuncheng,275.5,275.5,275.5,111.0,35.03,1.26,46,0
424,Rodez,277.73,277.15,278.71,2.57,44.35,1.0,86,29
425,Kavaratti,301.71,301.71,301.71,72.64,10.57,2.03,71,85
426,Torbay,272.91,272.04,273.15,-52.73,47.66,7.7,100,90
427,Maragogi,300.02,300.02,300.02,-35.22,-9.01,4.54,69,47
428,South Sioux City,274.52,273.15,275.37,-96.41,42.47,2.6,100,90
429,Scalea,277.89,277.59,278.15,15.79,39.82,3.13,79,54
430,Baykit,241.98,241.98,241.98,96.39,61.68,1.31,97,98
431,Saurimo,292.65,292.65,292.65,20.4,-9.66,1.24,95,94
432,Kushima,277.04,277.04,277.04,131.29,31.5,2.24,68,94
433,Roald,280.29,277.15,282.59,6.12,62.58,7.7,66,75
434,Namibe,296.4,296.4,296.4,12.15,-15.19,4.27,81,100
435,Pipri,281.7,281.7,281.7,83.02,24.21,0.4,52,0
436,Ekuvukeni,289.76,289.76,289.76,30.16,-28.47,3.39,89,38
437,Sao Joaquim,307.04,307.04,307.04,-49.93,-28.29,0.89,99,3
438,Haines Junction,263.27,263.27,263.27,-137.51,60.75,4.35,98,79
439,Komsomolskiy,254.74,254.74,254.74,63.78,67.55,5.3,97,100
440,Anadyr,242.36,242.15,242.59,177.51,64.73,3.0,74,8
441,Abu Samrah,281.9,281.9,281.9,37.18,35.3,3.67,80,78
442,Kuching,297.84,297.15,298.15,110.34,1.56,1.0,100,75
443,Nuuk,265.15,265.15,265.15,-51.74,64.17,5.7,78,40
444,Olinda,290.04,288.15,292.04,145.39,-37.84,0.42,82,100
445,Luang Prabang,292.15,292.15,292.15,102.14,19.89,0.31,82,40
446,Solenzo,301.81,301.81,301.81,-4.08,12.18,1.47,12,0
447,Markivka,276.46,276.46,276.46,39.57,49.52,0.42,94,100
448,Bathsheba,303.15,303.15,303.15,-59.52,13.22,9.3,58,40
449,Taoudenni,296.4,296.4,296.4,-3.98,22.68,4.57,11,0
450,Yangambi,298.86,298.86,298.86,24.47,0.77,0.6,58,90
451,Planaltina,303.15,303.15,303.15,-47.66,-15.62,3.1,45,40
452,Andros Town,295.76,295.37,296.15,-77.79,24.73,6.7,94,90
453,Codrington,288.54,288.15,289.15,153.24,-28.95,2.6,87,81
454,Esperance,291.15,291.15,291.15,121.89,-33.86,4.1,77,0
455,Hutang,283.71,283.71,283.71,119.85,29.22,1.75,70,67
456,Cassilandia,303.48,303.48,303.48,-51.73,-19.11,3.2,63,61
457,Senno,272.15,272.15,272.15,27.95,57.76,4.0,74,94
458,Havelock,294.56,292.59,297.59,-76.9,34.88,1.5,50,40
459,Catuday,299.71,299.71,299.71,119.81,16.29,6.87,81,0
460,Colares,289.71,288.71,291.15,-9.45,38.8,2.1,59,0
461,Monterey,282.0,277.59,285.93,-121.89,36.6,2.1,65,1
462,Banugao,299.26,299.26,299.26,121.63,14.73,0.89,81,22
463,Ewa Beach,296.62,295.15,298.15,-158.01,21.32,1.5,94,90
464,Nantucket,281.53,280.93,282.15,-70.1,41.28,5.7,65,1
465,Jalu,288.8,288.8,288.8,21.55,29.03,4.47,62,66
466,Utinga,304.15,304.15,304.15,-35.4,-5.82,7.2,48,40
467,Tessalit,294.45,294.45,294.45,1.01,20.2,3.49,12,0
468,Zhigalovo,236.95,236.95,236.95,105.15,54.81,0.17,94,0
469,Kidal,293.33,293.33,293.33,1.41,18.44,2.93,12,0
470,Zambezi,295.45,295.45,295.45,23.12,-13.55,1.98,85,100
471,Sandwick,281.44,279.82,284.26,-2.89,54.57,4.6,81,100
472,Ahipara,283.15,283.15,283.15,173.16,-35.17,6.22,100,0
473,Bilma,290.86,290.86,290.86,12.92,18.69,3.09,18,17
474,San Jeronimo,276.15,276.15,276.15,-73.37,-13.65,4.6,100,40
475,Puerto Escondido,302.15,302.15,302.15,-97.07,15.86,2.77,66,5
476,Aykhal,238.15,238.15,238.15,111.51,65.95,2.0,66,66
477,Sawakin,297.52,297.52,297.52,37.33,19.1,5.2,60,0
478,Atar,298.5,298.5,298.5,-13.05,20.52,4.58,8,0
479,Pasni,292.29,292.29,292.29,63.48,25.26,0.5,65,0
480,Iqaluit,249.2,249.15,249.26,-68.52,63.75,5.7,76,75
481,Kloulklubed,299.15,299.15,299.15,134.26,7.04,3.1,83,75
482,Russell,279.28,278.71,280.15,-98.86,38.9,3.1,87,90
483,Bandundu,298.69,298.69,298.69,17.38,-3.32,0.72,79,90
484,Sao Joao da Barra,302.67,302.15,303.15,-41.05,-21.64,4.1,62,40
485,Chany,251.92,251.92,251.92,76.76,55.31,4.7,84,93
486,Mount Pleasant,291.75,290.93,292.15,-94.97,33.16,2.6,93,90
487,Mora,285.92,284.26,287.59,-8.17,38.94,1.34,70,0
488,Atasu,271.98,271.98,271.98,71.64,48.68,3.97,94,100
489,Thohoyandou,296.25,296.25,296.25,30.46,-22.97,3.61,53,54
490,Tikhvin,263.15,263.15,263.15,33.53,59.64,25.48,88,97
491,Malanje,293.02,293.02,293.02,16.35,-9.54,1.92,97,67
492,Saint-Pierre,275.24,274.26,276.15,4.24,48.95,2.6,93,82
493,Pacifica,281.85,279.15,284.26,-122.49,37.61,1.12,81,75
494,Phalombe,294.07,294.07,294.07,35.65,-15.81,4.12,93,100
495,Firovo,268.19,268.19,268.19,33.7,57.48,3.69,88,100
496,Kirovskiy,252.48,252.48,252.48,133.51,45.09,2.09,90,19
497,Gizo,283.29,281.48,285.15,34.94,31.8,3.6,87,40
498,Ambanja,299.18,299.18,299.18,48.45,-13.68,2.88,86,100
499,Cockburn Town,299.08,299.08,299.08,-71.14,21.46,11.15,80,11
500,Karratha,305.12,305.12,305.12,116.85,-20.74,3.31,61,100
501,Vila do Maio,302.15,302.15,302.15,-23.22,15.13,7.2,30,14
502,Coos Bay,278.27,275.37,279.26,-124.22,43.37,1.5,87,1
503,Broken Hill,302.15,302.15,302.15,141.45,-31.97,2.98,28,80
